＃most entries were translated by Stephen Ku
＃entries, marked by ＊, were modified or translated by Eliran Wong
＃http://www.chioulaoshi.org/BGreek/glossary.html
『ABBreviated form』	[縮寫形式]＊
『Accusative』	[直接受詞]
『Active』	[主動]
『Adjective』	[形容詞]
『ADVerb or adverb and particle combined』	[副詞／副詞＋質詞]
『ADVerb』	[副詞]
『Aeolic』	[伊歐里斯希臘語]＊
『Aorist』	[簡單過去時態]
『Apocopated form』	[尾落形式]＊
『ARAMaic transliterated word (indeclinable)』	[亞蘭文音譯詞（無變格）]＊
『ATTic form』	[阿提卡形式]＊
『ATTic Greek form』	[阿提卡希臘語]＊
『Comparative』	[比較級]
『CONDitional particle or conjunction』	[條件質詞或連接詞]＊
『CONDitional particle』	[條件質詞]＊
『CONJunction or conjunctive particle』	[連接詞／連接質詞]＊
『CONJunction』	[連接詞]
『Contracted form』	[縮略形式]＊
『correlative or interrogative pronoun』	[相關或疑問代名詞]
『correlative pronoun』	[相關代名詞]
『Dative』	[間接受格]
『definite article』	[冠詞]
『Demonstrative pronoun』	[指示代名詞]
『disjunctive particle』	[反意質詞]＊
『Either middle or passive』	[關身或被動語態]
『Feminine』	[陰性]
『first』	[第一人稱]
『Future』	[未來時態]
『Genitive』	[所有格]
『HEBrew transliterated word (indeclinable)』	[希伯來文音譯詞（無變格）]＊
『HEBrew』	[希伯來文]
『iMperative』	[命令語氣]
『Imperfect』	[過去不完成時態]
『impersonal active』	[非人格主動]＊
『Indeclinable Letter (Noun)』	[無變格字母（名詞）]＊
『Indeclinable Noun of Other type』	[無變格名詞]＊
『Indeclinable NUmeral (Adjective)』	[無變格數字（形容詞）]
『Indeclinable PRoper Noun』	[無變格專有名詞]
『indefinite pronoun』	[不定代名詞]
『Indicative』	[直說語氣]
『iNfinitive』	[不定語氣]
『INterJection』	[感嘆詞]
『Interrogative pronoun』	[疑問代名詞]
『Interrogative』	[疑問詞]
『IRRegular or impure form』	[不規則形式]＊
『Kai』	[Kai]
『Letter Indeclinable (N)』	[無變格字母（名詞）]＊
『Location Gentilic』	[非猶太地名]＊
『Location』	[地名]
『Masculine)』	[陽性]＊
『Masculine』	[陽性]
『middle Deponent』	[關身形主動意]
『middle or passive depoNent』	[關身形或被動形主動意]＊
『Middle significance』	[關身意義]＊
『Middle』	[關身語態]
『Negative』	[否定詞]
『Neuter』	[中性]
『no tense stated (adverbial imperative)』	[無指定時態]＊
『no voice stated』	[無指定語態]＊
『Nominative』	[主格]
『Noun』	[名詞]
『NUmerical Indiclinable (A)』	[無變格數字（形容詞）]＊
『Optative』	[祈願語氣]
『Participle』	[分詞]
『Particle attached』	[附屬質詞]＊
『PaRTicle』	[質詞]
『passive depOnent』	[被動形主動意]
『Passive』	[被動語態]
『peRfect』	[現在完成時態]
『Person Gentilic』	[非猶太人名]＊
『Person』	[人名]
『Personal pronoun』	[人稱代名詞]
『pLuperfect』	[過去完成時態]
『Plural』	[複數]
『poSsessive pronoun』	[所有代名詞]
『PREPosition』	[介詞]
『Present』	[現在進行時態]
『reCiprocal pronoun』	[互相代名詞]
『reFlexive pronoun』	[反身代名詞]
『Relative pronoun』	[關係代名詞]
『second Aorist』	[第二簡單過去時態]
『second Future』	[第二未來時態]
『second peRfect』	[第二現在完成時態]
『second pLuperfect』	[第二過去完成時態]
『second Present』	[第二現在進行時態]
『second』	[第二人稱]
『Singular』	[單數]
『Subjunctive』	[假設語氣]
『Superlative』	[最上級]
『third』	[第三人稱]
『Title』	[稱謂]
『Transitive』	[及物]
『Verb』	[動詞]
『Vocative』	[呼格]
